interface removed, generator,# affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies, # nodes exposed
as1border2:Loopback0, random-2,2, heimdall_end_nodes, 8, 1, 38, 45,8
as1border2:Loopback0, random-2,2, heimdall_interface, 30, 0, 29, 40,29
as1border2:Loopback0, random-2,2, heimdall_intersect, 8, 1, 38, 45,8
as1border2:Loopback0, random-2,2, heimdall_intersect2, 8, 1, 38, 45,8
as1border2:Loopback0, random-2,2, neighbor, 2, 1, 9, 16,2
as1core1:GigabitEthernet0/0, complete,17, base, 13, 1, 65, 59,13
as1core1:GigabitEthernet0/0, complete,17, crystal-net, 11, 0, 57, 57,11
as1core1:GigabitEthernet0/0, complete,17, empty, 0, 0, 0, 0,0
as1core1:GigabitEthernet0/0, complete,17, heimdall, 13, 1, 65, 59,13
as1core1:GigabitEthernet0/0, complete,17, heimdall_end_nodes, 13, 1, 65, 59,13
as1core1:GigabitEthernet0/0, complete,17, heimdall_interface, 37, 0, 36, 34,36
as1core1:GigabitEthernet0/0, complete,17, heimdall_intersect, 4, 0, 20, 32,4
as1core1:GigabitEthernet0/0, complete,17, heimdall_intersect2, 13, 1, 65, 59,13
as1core1:GigabitEthernet0/0, complete,17, heimdall_intersect3, 9, 1, 43, 44,9
as1core1:GigabitEthernet0/0, complete,17, heimdall_intersect4, 13, 1, 65, 59,13
as1core1:GigabitEthernet0/0, complete,17, neighbor, 8, 0, 43, 52,8
as1core1:GigabitEthernet0/0, random-2,2, base, 13, 1, 65, 59,13
as1core1:GigabitEthernet0/0, random-2,2, crystal-net, 2, 0, 9, 10,2
as1core1:GigabitEthernet0/0, random-2,2, empty, 0, 0, 0, 0,0
as1core1:GigabitEthernet0/0, random-2,2, heimdall, 10, 0, 52, 52,10
as1core1:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 5, 0, 25, 32,5
as1core1:GigabitEthernet0/0, random-2,2, heimdall_interface, 25, 0, 24, 32,24
as1core1:GigabitEthernet0/0, random-2,2, heimdall_intersect, 5, 0, 25, 32,5
as1core1:GigabitEthernet0/0, random-2,2, heimdall_intersect2, 5, 0, 25, 32,5
as1core1:GigabitEthernet0/0, random-2,2, neighbor, 2, 0, 9, 10,2
as1core1:GigabitEthernet1/0, complete,17, base, 13, 1, 65, 60,13
